集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,現地法人企業数（社）
1995,11,埼玉県,2,ヨーロッパ州,217,ポルトガル,1
1995,11,埼玉県,3,北アメリカ州,302,カナダ,1
1995,11,埼玉県,3,北アメリカ州,304,アメリカ合衆国,20
1995,11,埼玉県,3,北アメリカ州,305,メキシコ,1
1995,11,埼玉県,4,南アメリカ州,410,ブラジル,1
1995,12,千葉県,1,アジア州,103,大韓民国,6
1995,12,千葉県,1,アジア州,105,中華人民共和国,3
1995,12,千葉県,1,アジア州,106,台湾,7
1995,12,千葉県,1,アジア州,108,香港,4
1995,12,千葉県,1,アジア州,111,タイ,4
1995,12,千葉県,1,アジア州,112,シンガポール,3
1995,12,千葉県,1,アジア州,113,マレーシア,3
1995,12,千葉県,1,アジア州,117,フィリピン,2
1995,12,千葉県,1,アジア州,118,インドネシア,1
1995,12,千葉県,1,アジア州,123,インド,1
1995,12,千葉県,2,ヨーロッパ州,205,英国,2
1995,12,千葉県,2,ヨーロッパ州,207,オランダ,1
1995,12,千葉県,2,ヨーロッパ州,209,ルクセンブルク,1
1995,12,千葉県,2,ヨーロッパ州,213,ドイツ,3
1995,12,千葉県,2,ヨーロッパ州,233,キプロス,1
1995,12,千葉県,2,ヨーロッパ州,234,トルコ,1
1995,12,千葉県,3,北アメリカ州,302,カナダ,3
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,15
1995,12,千葉県,3,北アメリカ州,312,パナマ,20
1995,12,千葉県,3,北アメリカ州,315,バハマ,1
1995,12,千葉県,3,北アメリカ州,399,その他の北アメリカ州,10
1995,12,千葉県,5,アフリカ州,515,リベリア,4
1995,12,千葉県,6,大洋州,601,オーストラリア,1
1995,13,東京都,1,アジア州,103,大韓民国,139
1995,13,東京都,1,アジア州,105,中華人民共和国,411
1995,13,東京都,1,アジア州,106,台湾,266
1995,13,東京都,1,アジア州,108,香港,405
1995,13,東京都,1,アジア州,110,ベトナム,18
1995,13,東京都,1,アジア州,111,タイ,382
1995,13,東京都,1,アジア州,112,シンガポール,395
1995,13,東京都,1,アジア州,113,マレーシア,254
1995,13,東京都,1,アジア州,116,ブルネイ,2
1995,13,東京都,1,アジア州,117,フィリピン,103
1995,13,東京都,1,アジア州,118,インドネシア,230
1995,13,東京都,1,アジア州,120,カンボジア,1
1995,13,東京都,1,アジア州,123,インド,18
1995,13,東京都,1,アジア州,124,パキスタン,6
1995,13,東京都,1,アジア州,125,スリランカ,3
1995,13,東京都,1,アジア州,127,バングラデシュ,3
1995,13,東京都,1,アジア州,131,ネパール,1
1995,13,東京都,1,アジア州,133,イラン,8
1995,13,東京都,1,アジア州,135,バーレーン,5
1995,13,東京都,1,アジア州,137,サウジアラビア,10
1995,13,東京都,1,アジア州,138,クウェート,2
1995,13,東京都,1,アジア州,143,イスラエル,3
1995,13,東京都,1,アジア州,146,レバノン,1
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,10
1995,13,東京都,1,アジア州,188,その他のアジア,5
1995,13,東京都,1,アジア州,199,その他の中東,1
1995,13,東京都,2,ヨーロッパ州,202,ノルウェー,6
1995,13,東京都,2,ヨーロッパ州,203,スウェーデン,16
1995,13,東京都,2,ヨーロッパ州,204,デンマーク,7
1995,13,東京都,2,ヨーロッパ州,205,英国,327
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,14
1995,13,東京都,2,ヨーロッパ州,207,オランダ,160
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,62
1995,13,東京都,2,ヨーロッパ州,209,ルクセンブルク,9
1995,13,東京都,2,ヨーロッパ州,210,フランス,120
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,220
1995,13,東京都,2,ヨーロッパ州,215,スイス,21
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,9
1995,13,東京都,2,ヨーロッパ州,218,スペイン,55
1995,13,東京都,2,ヨーロッパ州,220,イタリア,57
1995,13,東京都,2,ヨーロッパ州,222,フィンランド,4
1995,13,東京都,2,ヨーロッパ州,223,ポーランド,7
1995,13,東京都,2,ヨーロッパ州,225,オーストリア,13
1995,13,東京都,2,ヨーロッパ州,227,ハンガリー,8
1995,13,東京都,2,ヨーロッパ州,230,ギリシャ,8
1995,13,東京都,2,ヨーロッパ州,231,ルーマニア,4
1995,13,東京都,2,ヨーロッパ州,233,キプロス,1
1995,13,東京都,2,ヨーロッパ州,234,トルコ,10
1995,13,東京都,2,ヨーロッパ州,288,旧ソ連,20
1995,13,東京都,2,ヨーロッパ州,299,その他のヨーロッパ,13
1995,13,東京都,3,北アメリカ州,302,カナダ,136
1995,13,東京都,3,北アメリカ州,304,アメリカ合衆国,1502
1995,13,東京都,3,北アメリカ州,305,メキシコ,53
1995,13,東京都,3,北アメリカ州,306,グアテマラ,3
1995,13,東京都,3,北アメリカ州,307,ホンジュラス,1
1995,13,東京都,3,北アメリカ州,309,エルサルバドル,1
1995,13,東京都,3,北アメリカ州,311,コスタリカ,2
1995,13,東京都,3,北アメリカ州,312,パナマ,94
1995,13,東京都,3,北アメリカ州,314,バーミュダ(英),9
1995,13,東京都,3,北アメリカ州,315,バハマ,2
1995,13,東京都,3,北アメリカ州,316,ジャマイカ,2
1995,13,東京都,3,北アメリカ州,320,トリニダード・トバゴ,1
1995,13,東京都,3,北アメリカ州,324,プエルトリコ(米),2
1995,13,東京都,3,北アメリカ州,399,その他の北アメリカ州,38
1995,13,東京都,4,南アメリカ州,401,コロンビア,10
1995,13,東京都,4,南アメリカ州,402,ベネズエラ,12
1995,13,東京都,4,南アメリカ州,404,スリナム,1
1995,13,東京都,4,南アメリカ州,406,エクアドル,4
1995,13,東京都,4,南アメリカ州,407,ペルー,10
1995,13,東京都,4,南アメリカ州,408,ボリビア,2
1995,13,東京都,4,南アメリカ州,409,チリ,35
1995,13,東京都,4,南アメリカ州,410,ブラジル,103
1995,13,東京都,4,南アメリカ州,411,パラグアイ,1
1995,13,東京都,4,南アメリカ州,413,アルゼンチン,13
1995,13,東京都,5,アフリカ州,501,モロッコ,1
1995,13,東京都,5,アフリカ州,506,エジプト,3
1995,13,東京都,5,アフリカ州,515,リベリア,102
1995,13,東京都,5,アフリカ州,524,ナイジェリア,7
1995,13,東京都,5,アフリカ州,525,ニジェール,1
1995,13,東京都,5,アフリカ州,527,カメルーン,3
1995,13,東京都,5,アフリカ州,533,コンゴ民主共和国,1
1995,13,東京都,5,アフリカ州,538,エチオピア,1
1995,13,東京都,5,アフリカ州,546,マダガスカル,1
1995,13,東京都,5,アフリカ州,554,ザンビア,1
1995,13,東京都,5,アフリカ州,556,エスワティニ,1
1995,13,東京都,5,アフリカ州,599,その他のアフリカ,10
1995,13,東京都,6,大洋州,601,オーストラリア,248
1995,13,東京都,6,大洋州,602,パプアニューギニア,4
1995,13,東京都,6,大洋州,606,ニュージーランド,53
1995,13,東京都,6,大洋州,612,フィジー,2
1995,13,東京都,6,大洋州,699,その他のオセアニア,10
1995,14,神奈川県,1,アジア州,103,大韓民国,11
1995,14,神奈川県,1,アジア州,105,中華人民共和国,27
1995,14,神奈川県,1,アジア州,106,台湾,17
1995,14,神奈川県,1,アジア州,108,香港,13
1995,14,神奈川県,1,アジア州,111,タイ,13
1995,14,神奈川県,1,アジア州,112,シンガポール,19
1995,14,神奈川県,1,アジア州,113,マレーシア,16
1995,14,神奈川県,1,アジア州,117,フィリピン,6
1995,14,神奈川県,1,アジア州,118,インドネシア,6
1995,14,神奈川県,1,アジア州,123,インド,1
1995,14,神奈川県,1,アジア州,137,サウジアラビア,2
1995,14,神奈川県,1,アジア州,147,アラブ首長国連邦,1
1995,14,神奈川県,2,ヨーロッパ州,202,ノルウェー,1
1995,14,神奈川県,2,ヨーロッパ州,203,スウェーデン,2
1995,14,神奈川県,2,ヨーロッパ州,204,デンマーク,1
1995,14,神奈川県,2,ヨーロッパ州,205,英国,18
1995,14,神奈川県,2,ヨーロッパ州,207,オランダ,6
1995,14,神奈川県,2,ヨーロッパ州,208,ベルギー,1
1995,14,神奈川県,2,ヨーロッパ州,210,フランス,9
1995,14,神奈川県,2,ヨーロッパ州,213,ドイツ,9
1995,14,神奈川県,2,ヨーロッパ州,218,スペイン,2
1995,14,神奈川県,2,ヨーロッパ州,220,イタリア,2
1995,14,神奈川県,2,ヨーロッパ州,225,オーストリア,1
1995,14,神奈川県,3,北アメリカ州,302,カナダ,5
1995,14,神奈川県,3,北アメリカ州,304,アメリカ合衆国,61
1995,14,神奈川県,3,北アメリカ州,305,メキシコ,5
1995,14,神奈川県,3,北アメリカ州,312,パナマ,1
1995,14,神奈川県,3,北アメリカ州,399,その他の北アメリカ州,2
1995,14,神奈川県,4,南アメリカ州,409,チリ,1
1995,14,神奈川県,4,南アメリカ州,410,ブラジル,3
1995,14,神奈川県,5,アフリカ州,524,ナイジェリア,1
1995,14,神奈川県,6,大洋州,601,オーストラリア,3
1995,15,新潟県,1,アジア州,105,中華人民共和国,4
1995,15,新潟県,1,アジア州,106,台湾,1
1995,15,新潟県,1,アジア州,111,タイ,1
1995,15,新潟県,2,ヨーロッパ州,205,英国,1
1995,15,新潟県,3,北アメリカ州,304,アメリカ合衆国,6
1995,16,富山県,1,アジア州,103,大韓民国,1
1995,16,富山県,1,アジア州,105,中華人民共和国,2
1995,16,富山県,1,アジア州,106,台湾,3
1995,16,富山県,1,アジア州,108,香港,1
1995,16,富山県,1,アジア州,111,タイ,2
1995,16,富山県,1,アジア州,112,シンガポール,5
1995,16,富山県,1,アジア州,113,マレーシア,3
1995,16,富山県,1,アジア州,117,フィリピン,1
1995,16,富山県,1,アジア州,118,インドネシア,1
1995,16,富山県,2,ヨーロッパ州,205,英国,2
1995,16,富山県,2,ヨーロッパ州,207,オランダ,1
1995,16,富山県,2,ヨーロッパ州,213,ドイツ,1
1995,16,富山県,2,ヨーロッパ州,218,スペイン,1
1995,16,富山県,2,ヨーロッパ州,288,旧ソ連,1
1995,16,富山県,3,北アメリカ州,302,カナダ,2
1995,16,富山県,3,北アメリカ州,304,アメリカ合衆国,7
1995,16,富山県,3,北アメリカ州,305,メキシコ,1
1995,16,富山県,4,南アメリカ州,410,ブラジル,1
1995,16,富山県,6,大洋州,601,オーストラリア,1
1995,17,石川県,1,アジア州,103,大韓民国,1
1995,17,石川県,1,アジア州,105,中華人民共和国,2
1995,17,石川県,1,アジア州,106,台湾,1
1995,17,石川県,1,アジア州,108,香港,1
1995,17,石川県,1,アジア州,111,タイ,2
1995,17,石川県,1,アジア州,112,シンガポール,2
1995,17,石川県,2,ヨーロッパ州,220,イタリア,1
1995,17,石川県,3,北アメリカ州,304,アメリカ合衆国,1
1995,18,福井県,1,アジア州,103,大韓民国,2
1995,18,福井県,1,アジア州,105,中華人民共和国,2
1995,18,福井県,1,アジア州,106,台湾,1
1995,18,福井県,1,アジア州,108,香港,5
1995,18,福井県,1,アジア州,111,タイ,3
1995,18,福井県,1,アジア州,118,インドネシア,1
1995,18,福井県,2,ヨーロッパ州,205,英国,1
1995,18,福井県,2,ヨーロッパ州,213,ドイツ,2
1995,18,福井県,3,北アメリカ州,304,アメリカ合衆国,6
1995,19,山梨県,1,アジア州,105,中華人民共和国,4
1995,19,山梨県,1,アジア州,106,台湾,1
1995,19,山梨県,1,アジア州,113,マレーシア,1
1995,19,山梨県,3,北アメリカ州,302,カナダ,1
1995,19,山梨県,3,北アメリカ州,304,アメリカ合衆国,2
1995,20,長野県,1,アジア州,103,大韓民国,1
1995,20,長野県,1,アジア州,105,中華人民共和国,9
1995,20,長野県,1,アジア州,106,台湾,6
1995,20,長野県,1,アジア州,108,香港,5
1995,20,長野県,1,アジア州,111,タイ,9
1995,20,長野県,1,アジア州,112,シンガポール,6
1995,20,長野県,1,アジア州,113,マレーシア,4
1995,20,長野県,1,アジア州,117,フィリピン,5
1995,20,長野県,1,アジア州,118,インドネシア,5
1995,20,長野県,2,ヨーロッパ州,205,英国,4
1995,20,長野県,2,ヨーロッパ州,207,オランダ,2
1995,20,長野県,2,ヨーロッパ州,208,ベルギー,1
1995,20,長野県,2,ヨーロッパ州,210,フランス,2
1995,20,長野県,2,ヨーロッパ州,213,ドイツ,4
1995,20,長野県,2,ヨーロッパ州,215,スイス,1
1995,20,長野県,2,ヨーロッパ州,217,ポルトガル,1
1995,20,長野県,2,ヨーロッパ州,218,スペイン,1
1995,20,長野県,2,ヨーロッパ州,220,イタリア,1
1995,20,長野県,3,北アメリカ州,304,アメリカ合衆国,14
1995,20,長野県,6,大洋州,601,オーストラリア,1
1995,20,長野県,6,大洋州,606,ニュージーランド,1
1995,21,岐阜県,1,アジア州,103,大韓民国,3
1995,21,岐阜県,1,アジア州,105,中華人民共和国,14
1995,21,岐阜県,1,アジア州,106,台湾,5
1995,21,岐阜県,1,アジア州,108,香港,2
1995,21,岐阜県,1,アジア州,111,タイ,3
1995,21,岐阜県,1,アジア州,112,シンガポール,1
1995,21,岐阜県,2,ヨーロッパ州,205,英国,1
1995,21,岐阜県,2,ヨーロッパ州,207,オランダ,2
1995,21,岐阜県,2,ヨーロッパ州,213,ドイツ,1
1995,21,岐阜県,2,ヨーロッパ州,220,イタリア,1
1995,21,岐阜県,3,北アメリカ州,304,アメリカ合衆国,9
1995,22,静岡県,1,アジア州,103,大韓民国,4
1995,22,静岡県,1,アジア州,105,中華人民共和国,21
1995,22,静岡県,1,アジア州,106,台湾,12
1995,22,静岡県,1,アジア州,108,香港,3
1995,22,静岡県,1,アジア州,111,タイ,9
1995,22,静岡県,1,アジア州,112,シンガポール,6
1995,22,静岡県,1,アジア州,113,マレーシア,12
1995,22,静岡県,1,アジア州,117,フィリピン,7
1995,22,静岡県,1,アジア州,118,インドネシア,11
1995,22,静岡県,1,アジア州,123,インド,7
1995,22,静岡県,1,アジア州,124,パキスタン,3
1995,22,静岡県,2,ヨーロッパ州,202,ノルウェー,1
1995,22,静岡県,2,ヨーロッパ州,203,スウェーデン,6
1995,22,静岡県,2,ヨーロッパ州,204,デンマーク,1
1995,22,静岡県,2,ヨーロッパ州,205,英国,14
1995,22,静岡県,2,ヨーロッパ州,207,オランダ,6
1995,22,静岡県,2,ヨーロッパ州,208,ベルギー,2
1995,22,静岡県,2,ヨーロッパ州,209,ルクセンブルク,1
1995,22,静岡県,2,ヨーロッパ州,210,フランス,9
1995,22,静岡県,2,ヨーロッパ州,213,ドイツ,12
1995,22,静岡県,2,ヨーロッパ州,215,スイス,1
1995,22,静岡県,2,ヨーロッパ州,217,ポルトガル,3
1995,22,静岡県,2,ヨーロッパ州,218,スペイン,9
1995,22,静岡県,2,ヨーロッパ州,220,イタリア,7
1995,22,静岡県,2,ヨーロッパ州,225,オーストリア,2
1995,22,静岡県,2,ヨーロッパ州,227,ハンガリー,2
1995,22,静岡県,2,ヨーロッパ州,299,その他のヨーロッパ,1
1995,22,静岡県,3,北アメリカ州,302,カナダ,7
1995,22,静岡県,3,北アメリカ州,304,アメリカ合衆国,54
1995,22,静岡県,3,北アメリカ州,305,メキシコ,11
1995,22,静岡県,3,北アメリカ州,311,コスタリカ,1
1995,22,静岡県,3,北アメリカ州,312,パナマ,1
1995,22,静岡県,3,北アメリカ州,399,その他の北アメリカ州,1
1995,22,静岡県,4,南アメリカ州,401,コロンビア,2
1995,22,静岡県,4,南アメリカ州,410,ブラジル,4
1995,22,静岡県,4,南アメリカ州,413,アルゼンチン,1
1995,22,静岡県,5,アフリカ州,506,エジプト,1
1995,22,静岡県,5,アフリカ州,524,ナイジェリア,1
1995,22,静岡県,6,大洋州,601,オーストラリア,6
1995,22,静岡県,6,大洋州,606,ニュージーランド,2
1995,22,静岡県,6,大洋州,610,サモア,1
1995,23,愛知県,1,アジア州,103,大韓民国,11
1995,23,愛知県,1,アジア州,105,中華人民共和国,35
1995,23,愛知県,1,アジア州,106,台湾,27
1995,23,愛知県,1,アジア州,108,香港,23
1995,23,愛知県,1,アジア州,111,タイ,24
1995,23,愛知県,1,アジア州,112,シンガポール,14
1995,23,愛知県,1,アジア州,113,マレーシア,18
1995,23,愛知県,1,アジア州,117,フィリピン,5
1995,23,愛知県,1,アジア州,118,インドネシア,16
1995,23,愛知県,1,アジア州,120,カンボジア,1
1995,23,愛知県,1,アジア州,123,インド,3
1995,23,愛知県,1,アジア州,124,パキスタン,2
1995,23,愛知県,1,アジア州,125,スリランカ,1
1995,23,愛知県,2,ヨーロッパ州,202,ノルウェー,1
1995,23,愛知県,2,ヨーロッパ州,203,スウェーデン,1
1995,23,愛知県,2,ヨーロッパ州,205,英国,24
1995,23,愛知県,2,ヨーロッパ州,206,アイルランド,1
1995,23,愛知県,2,ヨーロッパ州,207,オランダ,8
1995,23,愛知県,2,ヨーロッパ州,208,ベルギー,8
1995,23,愛知県,2,ヨーロッパ州,210,フランス,10
1995,23,愛知県,2,ヨーロッパ州,213,ドイツ,18
1995,23,愛知県,2,ヨーロッパ州,217,ポルトガル,2
1995,23,愛知県,2,ヨーロッパ州,218,スペイン,5
1995,23,愛知県,2,ヨーロッパ州,220,イタリア,4
1995,23,愛知県,2,ヨーロッパ州,222,フィンランド,1
1995,23,愛知県,2,ヨーロッパ州,223,ポーランド,2
1995,23,愛知県,2,ヨーロッパ州,225,オーストリア,2
1995,23,愛知県,2,ヨーロッパ州,227,ハンガリー,4
1995,23,愛知県,2,ヨーロッパ州,234,トルコ,1
1995,23,愛知県,2,ヨーロッパ州,288,旧ソ連,3
1995,23,愛知県,2,ヨーロッパ州,299,その他のヨーロッパ,4
1995,23,愛知県,3,北アメリカ州,302,カナダ,17
1995,23,愛知県,3,北アメリカ州,304,アメリカ合衆国,103
1995,23,愛知県,3,北アメリカ州,305,メキシコ,6
1995,23,愛知県,3,北アメリカ州,311,コスタリカ,1
1995,23,愛知県,3,北アメリカ州,323,ドミニカ共和国,1
1995,23,愛知県,3,北アメリカ州,324,プエルトリコ(米),1
1995,23,愛知県,4,南アメリカ州,401,コロンビア,1
1995,23,愛知県,4,南アメリカ州,402,ベネズエラ,1
1995,23,愛知県,4,南アメリカ州,406,エクアドル,2
1995,23,愛知県,4,南アメリカ州,407,ペルー,1
1995,23,愛知県,4,南アメリカ州,409,チリ,2
1995,23,愛知県,4,南アメリカ州,410,ブラジル,13
1995,23,愛知県,4,南アメリカ州,411,パラグアイ,1
1995,23,愛知県,4,南アメリカ州,413,アルゼンチン,3
1995,23,愛知県,6,大洋州,601,オーストラリア,18
1995,23,愛知県,6,大洋州,606,ニュージーランド,6
1995,24,三重県,1,アジア州,103,大韓民国,4
1995,24,三重県,1,アジア州,105,中華人民共和国,3
1995,24,三重県,1,アジア州,108,香港,2
1995,24,三重県,1,アジア州,111,タイ,1
1995,24,三重県,1,アジア州,112,シンガポール,1
1995,24,三重県,1,アジア州,113,マレーシア,2
1995,24,三重県,1,アジア州,117,フィリピン,2
1995,24,三重県,1,アジア州,118,インドネシア,3
1995,24,三重県,1,アジア州,123,インド,2
1995,24,三重県,2,ヨーロッパ州,205,英国,2
1995,24,三重県,2,ヨーロッパ州,218,スペイン,1
1995,24,三重県,3,北アメリカ州,302,カナダ,1
1995,24,三重県,3,北アメリカ州,304,アメリカ合衆国,4
1995,24,三重県,4,南アメリカ州,410,ブラジル,1
1995,24,三重県,6,大洋州,601,オーストラリア,1
1995,25,滋賀県,1,アジア州,103,大韓民国,3
1995,25,滋賀県,1,アジア州,108,香港,1
1995,25,滋賀県,1,アジア州,112,シンガポール,2
1995,25,滋賀県,1,アジア州,113,マレーシア,1
1995,25,滋賀県,2,ヨーロッパ州,205,英国,2
1995,25,滋賀県,3,北アメリカ州,304,アメリカ合衆国,5
1995,26,京都府,1,アジア州,103,大韓民国,8
1995,26,京都府,1,アジア州,105,中華人民共和国,15
1995,26,京都府,1,アジア州,106,台湾,10
1995,26,京都府,1,アジア州,108,香港,14
1995,26,京都府,1,アジア州,111,タイ,4
1995,26,京都府,1,アジア州,112,シンガポール,13
1995,26,京都府,1,アジア州,113,マレーシア,7
1995,26,京都府,1,アジア州,117,フィリピン,2
1995,26,京都府,1,アジア州,118,インドネシア,1
1995,26,京都府,1,アジア州,143,イスラエル,1
1995,26,京都府,2,ヨーロッパ州,204,デンマーク,1
1995,26,京都府,2,ヨーロッパ州,205,英国,16
1995,26,京都府,2,ヨーロッパ州,207,オランダ,3
1995,26,京都府,2,ヨーロッパ州,208,ベルギー,1
1995,26,京都府,2,ヨーロッパ州,210,フランス,6
1995,26,京都府,2,ヨーロッパ州,213,ドイツ,15
1995,26,京都府,2,ヨーロッパ州,215,スイス,1
1995,26,京都府,2,ヨーロッパ州,218,スペイン,1
1995,26,京都府,2,ヨーロッパ州,220,イタリア,2
1995,26,京都府,2,ヨーロッパ州,225,オーストリア,1
1995,26,京都府,3,北アメリカ州,302,カナダ,2
1995,26,京都府,3,北アメリカ州,304,アメリカ合衆国,42
1995,26,京都府,3,北アメリカ州,305,メキシコ,2
1995,26,京都府,4,南アメリカ州,410,ブラジル,6
1995,26,京都府,6,大洋州,601,オーストラリア,5
1995,27,大阪府,1,アジア州,103,大韓民国,23
1995,27,大阪府,1,アジア州,105,中華人民共和国,96
1995,27,大阪府,1,アジア州,106,台湾,66
1995,27,大阪府,1,アジア州,108,香港,64
1995,27,大阪府,1,アジア州,110,ベトナム,4
1995,27,大阪府,1,アジア州,111,タイ,66
1995,27,大阪府,1,アジア州,112,シンガポール,85
1995,27,大阪府,1,アジア州,113,マレーシア,65
1995,27,大阪府,1,アジア州,117,フィリピン,15
1995,27,大阪府,1,アジア州,118,インドネシア,37
1995,27,大阪府,1,アジア州,123,インド,11
1995,27,大阪府,1,アジア州,133,イラン,2
1995,27,大阪府,2,ヨーロッパ州,202,ノルウェー,1
1995,27,大阪府,2,ヨーロッパ州,203,スウェーデン,6
1995,27,大阪府,2,ヨーロッパ州,204,デンマーク,3
1995,27,大阪府,2,ヨーロッパ州,205,英国,54
1995,27,大阪府,2,ヨーロッパ州,206,アイルランド,3
1995,27,大阪府,2,ヨーロッパ州,207,オランダ,27
1995,27,大阪府,2,ヨーロッパ州,208,ベルギー,14
1995,27,大阪府,2,ヨーロッパ州,210,フランス,21
1995,27,大阪府,2,ヨーロッパ州,213,ドイツ,59
1995,27,大阪府,2,ヨーロッパ州,215,スイス,6
1995,27,大阪府,2,ヨーロッパ州,217,ポルトガル,3
1995,27,大阪府,2,ヨーロッパ州,218,スペイン,9
1995,27,大阪府,2,ヨーロッパ州,220,イタリア,11
1995,27,大阪府,2,ヨーロッパ州,222,フィンランド,2
1995,27,大阪府,2,ヨーロッパ州,223,ポーランド,3
1995,27,大阪府,2,ヨーロッパ州,225,オーストリア,7
1995,27,大阪府,2,ヨーロッパ州,227,ハンガリー,3
1995,27,大阪府,2,ヨーロッパ州,231,ルーマニア,1
1995,27,大阪府,2,ヨーロッパ州,288,旧ソ連,2
1995,27,大阪府,2,ヨーロッパ州,299,その他のヨーロッパ,6
1995,27,大阪府,3,北アメリカ州,302,カナダ,21
1995,27,大阪府,3,北アメリカ州,304,アメリカ合衆国,198
1995,27,大阪府,3,北アメリカ州,305,メキシコ,9
1995,27,大阪府,3,北アメリカ州,306,グアテマラ,1
1995,27,大阪府,3,北アメリカ州,309,エルサルバドル,1
1995,27,大阪府,3,北アメリカ州,311,コスタリカ,1
1995,27,大阪府,3,北アメリカ州,312,パナマ,3
1995,27,大阪府,4,南アメリカ州,402,ベネズエラ,2
1995,27,大阪府,4,南アメリカ州,407,ペルー,2
1995,27,大阪府,4,南アメリカ州,410,ブラジル,27
1995,27,大阪府,4,南アメリカ州,413,アルゼンチン,6
1995,27,大阪府,5,アフリカ州,516,コートジボワール,1
1995,27,大阪府,5,アフリカ州,517,ガーナ,1
1995,27,大阪府,5,アフリカ州,524,ナイジェリア,1
1995,27,大阪府,5,アフリカ州,541,ケニア,1
1995,27,大阪府,5,アフリカ州,543,タンザニア,1
1995,27,大阪府,6,大洋州,601,オーストラリア,22
1995,27,大阪府,6,大洋州,606,ニュージーランド,6
1995,28,兵庫県,1,アジア州,103,大韓民国,6
1995,28,兵庫県,1,アジア州,105,中華人民共和国,10
1995,28,兵庫県,1,アジア州,106,台湾,8
1995,28,兵庫県,1,アジア州,108,香港,8
1995,28,兵庫県,1,アジア州,110,ベトナム,1
1995,28,兵庫県,1,アジア州,111,タイ,8
1995,28,兵庫県,1,アジア州,112,シンガポール,5
1995,28,兵庫県,1,アジア州,113,マレーシア,8
1995,28,兵庫県,1,アジア州,117,フィリピン,7
1995,28,兵庫県,1,アジア州,118,インドネシア,7
1995,28,兵庫県,1,アジア州,123,インド,1
1995,28,兵庫県,1,アジア州,125,スリランカ,1
1995,28,兵庫県,1,アジア州,143,イスラエル,1
1995,28,兵庫県,2,ヨーロッパ州,202,ノルウェー,1
1995,28,兵庫県,2,ヨーロッパ州,204,デンマーク,2
